,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"101","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","شبیه سازی بارش وتحلیل رودخانه­ های حوضه­ های آبریز&nbsp;با&nbsp;نرم افزار کامپیوتری HEC-HMS","2132/37","1","0","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"102","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","شبیه سازی کمی و کیفی آب&nbsp; با نرم افزار SMADA","2132/29","1","1","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"88/12/1"
"103","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","شناسايي و بهره داري محصولات فرعي جنگل و مرتع","6210-71-001-1","1","1","0","0","6","1","0","1","7","0","3","3","4","1","3","ندارد","سوم راهنمایی","23","69","0","0","92","هیچ کدام","شایستگی",,"1394/04/01"
"104","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","طراح سیستم های بیابان زدایی","6210/12/1","1","0","0","0","8","0","0","1","7","0","4","3","3","1","2","ندارد","ليسانس","70","91","0","0","161","هیچ کدام","شغل",,"1390/05/01"
"105","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","طراح سیستم های چرایی","6210/27/1","1","0","0","0","5","0","0","1","7","0","4","2","3","1","2","-","كارداني مرتعداري","40","60","0","0","100","هیچ کدام","شغل",,"1390/02/01"
"106","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","طراحی و آنالیز شبکه های آبرسانی با نرم افزار  Water Gems","2132/41/1","1","5","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کاردانی","10","44","0","0","54","هیچ کدام","شایستگی",,"1389/02/01"
"107","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","طراحی و شبیه سازی سیستم های آبیاری تحت فشار با نرم افزار NETAFIM","2132/31","1","2","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"108","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","طراحی وتحلیل سدهای زیرزمینی","2132/53/1","1","4","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"109","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کاربرد نرم افزار طراحی کانالهای آبیاری و زهکش CSDP","2132/22","1","1","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/09/01"
"110","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارگر اره موتورچی","6210/21/1","1","0","0","0","0","3","0","1","7","0","1","5","1","2","9","-","پايان دوره راهنمايي","65","98","0","0","163","هیچ کدام","شغل",,"1390/02/01"
"111","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارگر اطفاء حریق در جنگل","6210/25/1","1","0","0","0","1","3","0","1","7","0","1","5","1","2","9","ندارد","پایان دوره راهنمایی","39","66","0","0","105","هیچ کدام","شغل",,"1390/02/01"
"112","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارگر جنگل","6210/22/1","1","0","0","0","2","3","0","1","7","0","1","5","1","2","9","ندارد","پايان دوره راهنمايي","61","96","0","0","157","هیچ کدام","شغل",,"1390/02/01"
"113","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارگر حمل فراورده های جنگلی","6210/28/1","1","0","0","0","3","3","0","1","7","0","1","5","1","2","9","ندارد","پايان دوره راهنمايي","32","71","0","0","103","هیچ کدام","شغل",,"1390/02/01"
"114","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارگر حمل و نقل درختان جنگلی قطع شده","6210/23/1","1","0","0","0","4","0","0","1","7","0","1","5","1","2","9","ندارد","پایان دوره راهنمایی","36","65","0","0","101","هیچ کدام","شغل",,"1390/02/01"
"115","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارور دستگاه GPS در علوم کشاورزی و منابع طبیعی ","6-12/28/1/1","1","0","0","0","4","0","0","1","7","0","4","3","3","1","2","-","كارداني كشاورزي يا منابع طبيعي يا محيط زيست","40","61","0","0","101","هیچ کدام","شغل",,"1388/01/01"
"116","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارور سیستم اطلاعات جغرافیایی GIS با نرم افزارArcGIS در کشاورزی","2133/71/001/1","1","8","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","17.5","31.5","0","0","49","هیچ کدام","شایستگی",,"1393/06/15"
"117","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کارور نرم افزار سیستم اطلاعات جامع زمین و آبILWIS","2132/28/1","1","3","1","0","7","0","0","1","7","0","4","3","3","1","2","ندارد","کارشناسی","10","44","0","0","54","هیچ کدام","شایستگی",,"1388/12/01"
"118","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کمک مرتعدار","6210/6/1","1","0","0","0","5","2","0","1","7","0","2","0","1","2","6","-","فوق ديپلم مرتعداري","84","129","0","0","213","هیچ کدام","شغل",,"1390/05/01"
"119","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کنترل آبهای شور در توسعه کشاورزی","2132/25","1","4","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/10/01"
"120","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کنترل منابع آب کارستی","2132/44/1","1","5","2","0","7","0","0","1","7","0","4","3","3","1","2","ندارد","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"121","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کنترل و شبیه سازی آبیاری گیاه با نرم افزار کامپیوتری crop wat","2132/28","1","4","1","0","7","0","0","1","7","0","4","3","3","1","2","ندارد","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"122","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","کنترل واستخراج منابع آبهای زیرزمینی","2132/47/1","1","6","2","0","7","0","0","1","7","0","4","3","3","1","2","ندارد","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"123","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","متصدی امور قطع و استحصال","9212/3/1","1","0","0","0","8","2","0","1","7","0","2","0","1","2","6","ندارد","كارداني جنگلداري","48","53","0","0","101","هیچ کدام","شغل",,"1390/12/01"
"124","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","متصدی امور نشانه گذاری درختان جنگلی","6210/3/1","1","0","0","0","3","2","0","1","7","0","2","0","1","2","6","ندارد","ديپلم","42","64","0","0","106","هیچ کدام","شغل",,"1389/11/01"
"125","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","متصدی بند خاکی(سازه های مکانیکی آبخیزداری)","3134/9/1","1","0","0","0","1","1","0","1","7","0","4","3","3","1","2","ندارد","كارداني مرتع و ابخيز","45","66","0","0","111","هیچ کدام","شغل",,"1390/06/01"
"126","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","متصدی تامین مصارف روستایی جنگل نشینان","6210/4/1","1","0","0","0","4","2","0","1","7","0","2","0","1","2","6","-","فوق ديپلم جنگلداري","42","68","0","0","110","هیچ کدام","شغل",,"1389/11/01"
"127","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مدیر بهره برداری از جنگل","6210/30/1","1","0","0","0","1","0","0","1","7","0","4","1","1","3","1","-","كارداني جنگلداري","59","70","0","0","129","هیچ کدام","شغل",,"1390/02/01"
"128","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مدیر چرایی مرتع","343/7/1","1","0","0","0","2","0","0","1","7","0","4","1","1","3","1","-","كارداني مرتعداري","40","60","0","0","100","هیچ کدام","شغل",,"1389/03/01"
"129","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مرتع بان","6210/14/1","1","0","0","0","1","2","0","1","7","0","3","3","4","1","3","ندارد","ديپلم","76","49","0","0","125","هیچ کدام","شغل",,"1390/04/01"
"130","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مسئول آزمایشگاه مرتع","3143/9/1","1","0","0","0","2","2","0","1","7","0","3","3","4","1","3","ندارد","كارداني مرتعداري","62","96","0","0","158","هیچ کدام","شغل",,"1390/10/01"
"131","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مسئول طرح جنگلداری","3143/1/4","1","0","0","0","6","0","0","1","7","0","4","2","3","1","2","ندارد","كارداني جنگلداري","62","124","0","0","186","هیچ کدام","شغل",,"1390/12/01"
"132","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","مفسر عکس های هوایی حوضه ابخیز","6210/8/1","1","0","0","0","3","0","0","1","7","0","4","2","3","1","2","ندارد","فوق ديپلم آبخيزداري","40","60","0","0","100","هیچ کدام","شغل",,"1389/03/01"
"133","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","نهالکار مراتع","6210/13/1","1","0","0","0","7","2","0","1","7","0","2","0","1","2","6","ندارد","ديپلم","48","66","0","0","114","هیچ کدام","شغل",,"1390/04/01"
"134","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","الواربر در جنگل","6210/24/1","1","0","0","0","9","2","0","1","7","0","1","5","1","2","9","ندارد","پایان دوره راهنمایی","56","82","0","0","138","هیچ کدام","شغل",,"1390/02/01"
"135","کشاورزی","فناوري محیط زیست","طراحی فضای سبز با کمک نرم افزار Realtime Landscaping Pro","2162/2/1","1","2","0","0","1","0","0","7","0","1","4","3","4","1","2","كارور عمومي رايانه شخصي","كارداني","31","66","0","0","97","هیچ کدام","شایستگی",,"1390/09/01"
"136","کشاورزی","فناوري محیط زیست","محیط بان","6210/20/1","1","0","0","0","5","0","0","7","0","1","4","3","3","1","2","-","دیپلم","60","98","0","0","158","هیچ کدام","شغل",,"1390/02/01"
"137","کشاورزی","فناوري محیط زیست","طراح فضای سبز","6-32/17/1/4","1","0","0","0","1","0","0","7","0","1","4","3","4","1","2","-","كارداني كشاورزي با گرايش توليدات گياهي","36","84","0","0","120","هیچ کدام","شغل",,"1395/01/15"
"138","کشاورزی","فناوري محیط زیست","طراحی ومحوطه سازی فضای سبز با کمک نرم افزارDEUXE","6-27/50/1/2","1","3","0","0","1","0","0","7","0","1","4","3","4","1","2","كارور عمومي رايانه شخصي","كارداني كشاورزي با گرايش توليدات گياهي","39","78","0","0","117","هیچ کدام","شایستگی",,"1390/04/01"
"139","کشاورزی","فناوري محیط زیست","کارگر فضای سبز","6-22/18/1/2","1","0","0","0","6","0","0","7","0","1","1","5","1","2","9","-","پایان دوره راهنمایی","27","74","0","0","101","هیچ کدام","شغل",,"1390/04/01"
"140","کشاورزی","فناوري محیط زیست","باغبان منظر(ويژه المپياد جهاني مهارت)","6113-63-100-1","1","0","0","0","2","0","0","7","0","1","4","3","4","1","2","طراحي و سازنده آبنما و محوطه يا باغباني منظر مقدماتي ","دیپلم","220","440","60","90","810","هیچ کدام","شغل",,"1393/11/01"
"141","کشاورزی","فناوري محیط زیست","طراحی کاشت منظر","7233/4/1","1","1","0","0","2","0","0","7","0","1","4","3","4","1","2","-","ليسانس فضاي سبز يا كشاورزي يا محيط زيست","20","40","0","0","60","هیچ کدام","شایستگی",,"1390/05/01"
"142","کشاورزی","فناوري محیط زیست","آموزشيارمحيط زيست","1312-107-003-1","1","0","0","0","3","0","0","7","0","1","4","3","4","1","2","-","فوق دیپلم","25","35","20","0","80","هیچ کدام","شغل",,"1393/11/01"
"143","کشاورزی","فناوري محیط زیست","دهيارمحيط زيست","1312-107-005-1","1","0","0","0","7","0","0","7","0","1","4","2","3","1","2","ندارد","فوق دیپلم","35","45","20","0","100","هیچ کدام","شغل",,"1395/01/15"
"144","کشاورزی","فناوري محیط زیست","مدیر پروژه فضای سبز","6113/44/1","1","0","0","0","8","0","0","7","0","1","4","1","1","3","1","ندارد","دیپلم","48","127","0","0","175","هیچ کدام","شغل",,"1390/03/01"
"145","کشاورزی","فناوري محیط زیست","آنالیز آفات و بیماریهای گیاهی با استفاده از اطلاعات هواشناسی","2132/38","1","1","0","0","8","0","0","7","0","1","4","1","1","3","1","-","کارشناسی زراعت یا گیاهپزشکی","11","34","0","0","45","هیچ کدام","شایستگی",,"1388/12/01"
"146","کشاورزی","فناوري محیط زیست","مدیریت تولیدات کشاورزی با استفاده از اطلاعات هواشناسی","2132/39","1","2","0","0","8","0","0","7","0","1","4","1","1","3","1","ندارد","كارشناسي","9","30","0","0","39","هیچ کدام","شایستگی",,"1388/12/01"
"147","کشاورزی","فناوري محیط زیست","بررسی وکنترل آلاینده های جوی","2132/55/1","1","3","0","0","8","0","0","7","0","1","4","1","1","3","1","-","کارشناسی هواشناسی یا زراعت","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
